FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Ethiopia,Humanitarian Assistance,Disaster Readiness,400000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6500000
2012,FY 2012 Actual Base,Global Health Programs - State,DOS and USAID,Burundi,Health,HIV/AIDS,5000000
2006,FY 2006 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Eritrea,Peace and Security,Counterterrorism,400000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform,1037000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Trans-Sahara Counter-Terrorism Partnership (DOS),Peace and Security,Counterterrorism,1500000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,East Africa Regional Office (USAID),Economic Development,Trade and Investment,5365000
2009,FY 2009 Supp,Economic Support Fund,DOS and USAID,Jordan,Health,Water Supply and Sanitation,19000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,"Democracy, Human Rights, and Governance",Good Governance,680000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South Africa,Peace and Security,Counterterrorism,1500000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Liberia,Economic Development,Economic Opportunity,2000000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Middle East Multilaterals (DOS),Peace and Security,Conflict Mitigation and Reconciliation,1000000
2013,FY 2013 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Serbia,Peace and Security,Combating Weapons of Mass Destruction (WMD),650000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Ecuador,Environment,Environment,6144000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Kazakhstan,Peace and Security,Combating Weapons of Mass Destruction (WMD),1313000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),"Democracy, Human Rights, and Governance",Civil Society,650000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform,1375000
2006,FY 2006 Actual Base,Global Health Programs - State,DOS and USAID,Haiti,Health,HIV/AIDS,47300000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Ghana,Peace and Security,Counter-Narcotics,246000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mozambique,Economic Development,Agriculture,10225000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Bangladesh,Health,Maternal and Child Health,30000000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Economic Development,Trade and Investment,4700000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Cambodia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,467000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Economic Development,Private Sector Competitiveness,5903000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,Ghana,Health,Malaria,5000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Cambodia,Environment,Environment,1199000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Democratic Republic of Congo,Education and Social Services,Basic Education,11396000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Montenegro,"Democracy, Human Rights, and Governance",Civil Society,1849000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Madagascar,Education and Social Services,Basic Education,3000000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Macedonia,Peace and Security,Combating Weapons of Mass Destruction (WMD),520000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Nepal,Economic Development,Agriculture,10000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,El Salvador,Economic Development,Financial Sector,450000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Yemen,Peace and Security,Stabilization Operations and Security Sector Reform,1064000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Lebanon,Economic Development,Trade and Investment,1000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Ecuador,Environment,Environment,5000000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),200000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Economic Opportunity,73000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Peace and Security,Counter-Narcotics,775000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,South Sudan,Peace and Security,Stabilization Operations and Security Sector Reform,800000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Mexico,"Democracy, Human Rights, and Governance",Good Governance,11000000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Nepal,Peace and Security,Transnational Crime,1500000
2006,FY 2006 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tunisia,Peace and Security,Combating Weapons of Mass Destruction (WMD),25000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Transnational Crime,1800000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Health,Maternal and Child Health,15042000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Jamaica,Education and Social Services,Basic Education,2000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Chad,Peace and Security,Counterterrorism,5000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Mongolia,Economic Development,Trade and Investment,1125000
2009,FY 2009 Supp,Foreign Military Financing,DOS and USAID,Jordan,Peace and Security,Stabilization Operations and Security Sector Reform,90000000
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,El Salvador,Peace and Security,Stabilization Operations and Security Sector Reform,1247000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Rwanda,Economic Development,Agriculture,6844000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Policy and Program Coordination,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,50000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Nigeria,Economic Development,Infrastructure,1020000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Benin,Health,Malaria,16653000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Middle East Regional Office (USAID),Economic Development,Trade and Investment,1165000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Morocco,Peace and Security,Stabilization Operations and Security Sector Reform,750000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Senegal,"Democracy, Human Rights, and Governance",Good Governance,1332000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,"Democracy, Human Rights, and Governance",Civil Society,2304000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,Mauritius,Humanitarian Assistance,Disaster Readiness,12000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,The Bahamas,Peace and Security,Stabilization Operations and Security Sector Reform,150000
2014,FY 2014 Foreign Military Financing Request - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Education and Social Services,Higher Education,10000000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Hungary,Peace and Security,Stabilization Operations and Security Sector Reform,947000
2007,FY 2007 Actual Supp,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Pandemic Influenza and Other Emerging Threats ,161000000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Pandemic Influenza and Other Emerging Threats ,140000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions",13000000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform,1450000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,East Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,1562000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,Hungary,Peace and Security,Stabilization Operations and Security Sector Reform,1685000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,"Democracy, Human Rights, and Governance",Good Governance,1405000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Georgia,Education and Social Services,Social Services,1133000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,West Bank and Gaza,Peace and Security,Combating Weapons of Mass Destruction (WMD),50000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Indonesia,Environment,Environment,5300000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Economic Development,Agriculture,5400000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Zambia,Economic Development,Trade and Investment,1127000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Health,Maternal and Child Health,1705000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Liberia,"Democracy, Human Rights, and Governance",Civil Society,3000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Senegal,Education and Social Services,Basic Education,11400000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Peru,Environment,Environment,17000000
2007,FY 2007 Actual Base,Global Health Programs - State,DOS and USAID,China,Health,HIV/AIDS,1950000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Mongolia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,549000
2012,FY 2012 Actual Base,Global Health Programs - State,DOS and USAID,Burma,Health,HIV/AIDS,8500000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Russia,Education and Social Services,Social Services,2841000
2012,FY 2012 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Peace and Security,Transnational Crime,13000000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Ethiopia,Peace and Security,Conflict Mitigation and Reconciliation,2180000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Egypt,Health,Water Supply and Sanitation,5000000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Good Governance,97600000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South and Central Asia Regional Office (DOS),Peace and Security,Counterterrorism,570000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Armenia,Humanitarian Assistance,"Protection, Assistance and Solutions",800000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,South Sudan,Education and Social Services,Social Services,10000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Worldwide,Environment,Environment,100000000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Democratic Republic of Congo,Health,HIV/AIDS,9200000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4200000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Economic Development,Financial Sector,980000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Humanitarian Assistance,Migration Management,350000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Education and Social Services,Higher Education,2350000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Turkmenistan,Peace and Security,Transnational Crime,175000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Malta,Peace and Security,Stabilization Operations and Security Sector Reform,153000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Bangladesh,Economic Development,Agriculture,50000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth,175000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Africa Regional Office (USAID),Health,HIV/AIDS,816000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Combating Weapons of Mass Destruction (WMD),400000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Civil Society,18940000
2008,FY 2008 Actual Base,Foreign Military Financing,DOS and USAID,Tajikistan,Peace and Security,Stabilization Operations and Security Sector Reform,372000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Timor-Leste,Peace and Security,Stabilization Operations and Security Sector Reform,400000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Mozambique,Health,Water Supply and Sanitation,200000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Economic Opportunity,2000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Peace and Security,Combating Weapons of Mass Destruction (WMD),200000
2007,FY 2007 Actual Supp,Economic Support Fund,DOS and USAID,Uganda,Peace and Security,Conflict Mitigation and Reconciliation,2000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Economic Opportunity,900000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Oman,Peace and Security,Combating Weapons of Mass Destruction (WMD),1000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Infrastructure,38921000
2009,FY 2009 Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Infrastructure,78000000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Zambia,Economic Development,Agriculture,8000000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Comoros,Peace and Security,Stabilization Operations and Security Sector Reform,100000
2013,FY 2013 Actual Base,Peacekeeping Operations,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform,2000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Rwanda,Health,Malaria,17164000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Cambodia,Environment,Environment,9500000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform,795000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Angola,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1581000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Philippines,Peace and Security,Stabilization Operations and Security Sector Reform,6000000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Iraq,Economic Development,Private Sector Competitiveness,16010000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Indonesia,Economic Development,Financial Sector,4500000
2006,FY 2006 Actual Base,Foreign Military Financing,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform,990000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Sri Lanka,Economic Development,Private Sector Competitiveness,2803000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Trade and Investment,1199000
2011,FY 2011 Actual Base,N/A,DoD,Cameroon,Peace and Security,Counter-Narcotics,833000
2015,FY 2015 Request,Food for Peace Title II,DOS and USAID,Burundi,Health,Nutrition,12500000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,South America Regional Office (USAID),Health,Tuberculosis,300000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Trans-Sahara Counter-Terrorism Partnership (DOS),Peace and Security,Counterterrorism,1447000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform,5100000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,Democratic Republic of Congo,Health,Family Planning and Reproductive Health,6700000
2006,FY 2006 Actual Base,Migration and Refugee Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Peace and Security,Transnational Crime,3423000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Iraq,Peace and Security,Conflict Mitigation and Reconciliation,10000000
2015,FY 2015 Request,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UNDF UN Democracy Fund,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4200000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Malta,Peace and Security,Stabilization Operations and Security Sector Reform,150000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Barbados and Eastern Caribbean (DOS & USAID),Peace and Security,Stabilization Operations and Security Sector Reform,700000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Honduras,Health,Maternal and Child Health,2456000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,El Salvador,Economic Development,Financial Sector,825000
2007,FY 2007 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - African Development Fund (AfDF),Multi-Sector,International Contributions,134343000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Nicaragua,Economic Development,Private Sector Competitiveness,2200000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Philippines,Peace and Security,Transnational Crime,860000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Malawi,Peace and Security,Stabilization Operations and Security Sector Reform,240000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Program Management,Direct Administrative Costs,580000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Asia Middle East Regional Office (USAID),Health,Water Supply and Sanitation,10000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Indonesia,Education and Social Services,Higher Education,4000000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Egypt,Education and Social Services,Basic Education,20000000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Mozambique,Environment,Environment,8000000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Macedonia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1405000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Philippines,Peace and Security,Counterterrorism,8510000
2010,FY 2010 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - WTO Technical Assistance,Economic Development,Trade and Investment,1050000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Pakistan,Economic Development,Financial Sector,1257000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Russia,Peace and Security,Conflict Mitigation and Reconciliation,1620000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,African Union (DOS),"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1100000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Health,Other Public Health Threats,314000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Niger,"Democracy, Human Rights, and Governance",Civil Society,255000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Education and Social Services,Basic Education,1374000
2006,FY 2006 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - Global Environment Facility (GEF),Multi-Sector,International Contributions,79200000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Middle East Regional Office (USAID),Health,Other Public Health Threats,500000
2013,FY 2013 Foreign Military Financing Base - OCO,International Narcotics Control and Law Enforcement - OCO,DOS and USAID,Tunisia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2001000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,Maternal and Child Health,1309000
2008,FY 2008 Actual Base,Global Health Programs - State,DOS and USAID,Haiti,Health,HIV/AIDS,92000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Burundi,Economic Development,Financial Sector,534000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Morocco,Economic Development,Private Sector Competitiveness,775000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions",1138000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Financial Sector,1052000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ukraine,Peace and Security,Stabilization Operations and Security Sector Reform,1500000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Paraguay,Peace and Security,Stabilization Operations and Security Sector Reform,360000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Guyana,"Democracy, Human Rights, and Governance",Good Governance,420000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Economic Development,Macroeconomic Foundation for Growth,1203000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Montenegro,Peace and Security,Stabilization Operations and Security Sector Reform,350000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Angola,Peace and Security,Stabilization Operations and Security Sector Reform,435000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Good Governance,5000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Civil Society,5835000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Sierra Leone,Peace and Security,Stabilization Operations and Security Sector Reform,200000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,South Africa,Economic Development,Financial Sector,3100000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tunisia,Peace and Security,Combating Weapons of Mass Destruction (WMD),100000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Nutrition,16500000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Civil Society,3458000
2006,FY 2006 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations and Development Institutions,Economic Development,Economic Opportunity,4702000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Macedonia,Education and Social Services,Higher Education,891000
2010,FY 2010 Actual Base,Global Health Programs - State,DOS and USAID,Lesotho,Health,HIV/AIDS,19254000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Djibouti,Health,Tuberculosis,250000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Nepal,Economic Development,Agriculture,3424000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Nepal,Humanitarian Assistance,"Protection, Assistance and Solutions",851000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Yemen,Health,Maternal and Child Health,4069000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Dominican Republic,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,783000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Pakistan,"Democracy, Human Rights, and Governance",Good Governance,6805000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Bangladesh,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,350000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Good Governance,1805000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Cote d'Ivoire,Peace and Security,Counterterrorism,300000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,"Democracy, Human Rights, and Governance",Civil Society,1899000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform,324000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Economic Development,Agriculture,3219000
2012,FY 2012 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - African Development Bank (AfDB),Multi-Sector,International Contributions,32417720
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Tanzania,Economic Development,Private Sector Competitiveness,1000000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Cote d'Ivoire,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,5350000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Uganda,Health,Water Supply and Sanitation,1000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Yemen,Education and Social Services,Basic Education,1000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Senegal,Economic Development,Agriculture,20000000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Ecuador,Peace and Security,Stabilization Operations and Security Sector Reform,178000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Vietnam,Economic Development,Macroeconomic Foundation for Growth,1000000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,El Salvador,Health,HIV/AIDS,1090000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Malawi,Peace and Security,Stabilization Operations and Security Sector Reform,294000
2012,FY 2012 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Humanitarian Assistance,Disaster Readiness,160000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Cyprus,Peace and Security,Conflict Mitigation and Reconciliation,10430000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Uzbekistan,Health,Tuberculosis,3000000
2012,FY 2012 Actual Base,Food for Peace Title II,DOS and USAID,Tanzania,Humanitarian Assistance,"Protection, Assistance and Solutions",7786000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Morocco,Economic Development,Private Sector Competitiveness,1136000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Kenya,Health,Water Supply and Sanitation,3000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Philippines,Education and Social Services,Basic Education,12900000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Education and Social Services,Social Assistance,470000
2010,FY 2010 Actual Base,Global Health Programs - State,DOS and USAID,Tanzania,Program Management,Direct Administrative Costs,10896000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Afghanistan,Environment,Environment,3039000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Malawi,Health,HIV/AIDS,15500000
