FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2012,,Obligations,N/A,USADF,Kenya,Kenya,,Manufacturing,13771
2009,4,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,East Asia Region,Economic Development,Trade and Investment,938369
2013,2,Obligations,Global Health & Child Survival,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,HIV/AIDS,40000
2011,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",New Zealand,Program Management,Direct Administrative Costs,150
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Philippines,Philippines,Health,Family Planning and Reproductive Health,9703.120000000001
2013,3,Obligations,N/A,USAID,East Africa Region,East Africa Region,Economic Development,Financial Sector,600000
2013,3,Obligations,N/A,USAID,Cambodia,Cambodia,Peace and Security,Transnational Crime,219691
2013,2,Obligations,Child Survival and Health Programs Fund,USAID,Ghana,Ghana,Health,HIV/AIDS,373.59
2009,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions",30611471.99
2010,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Economic Development,Agriculture,-12573.89
2009,4,Obligations,Development Assistance,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,33941.3
2012,1,Obligations,Economic Support Fund,USAID,Vietnam,Vietnam,Program Management,Monitoring and Evaluation,20906.5
2012,4,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Education and Social Services,Basic Education,858851
2009,2,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Indonesia,Health,Pandemic Influenza and Other Emerging Threats ,-1055.21
2011,4,Obligations,Global Health & Child Survival,USAID,Bolivia,Bolivia,Program Management,Direct Administrative Costs,1452404.45
2013,2,Obligations,Global Health & Child Survival,USAID,South Sudan,South Sudan,Health,Maternal and Child Health,-2241526
2011,4,Obligations,Child Survival and Health Programs Fund,USAID,Brazil,Brazil,Health,Tuberculosis,-123.44
2012,3,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Macroeconomic Foundation for Growth,1122951.31
2013,3,Obligations,N/A,USAID,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Good Governance,150000
2009,4,Obligations,Development Assistance,USAID,Cote d'Ivoire,Cote d'Ivoire,"Democracy, Human Rights, and Governance",Civil Society,121475
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,USAID Central Asia Regional,Central Asia Region,Health,Other Public Health Threats,450000
2009,4,Obligations,Global HIV/AIDS Initiative,USAID,Kenya,Kenya,Health,HIV/AIDS,250000
2011,4,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Nutrition,826000
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,Economic Development,Infrastructure,369825
2011,1,Obligations,N/A,Peace Corps,Togo,Togo,,Multi-Sector - Unspecified,29622.49
2012,3,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-2089.55
2010,1,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,Laos,Economic Development,Trade and Investment,600000
2010,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Economic Development,Private Sector Competitiveness,1712715.03
2011,4,Obligations,Economic Support Fund,USAID,Egypt,Egypt,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1656457.23
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Health,HIV/AIDS,18852
2010,3,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs,2047.4
2012,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Private Sector Competitiveness,-149.28
2009,4,Obligations,Development Assistance,USAID,USAID East Africa Regional,East Africa Region,Peace and Security,Conflict Mitigation and Reconciliation,2539647.07
2013,3,Obligations,International Disaster Assistance,USAID,Senegal,Senegal,Program Management,Direct Administrative Costs,40985.15
2014,2,Obligations,N/A,MCC,Lesotho,Lesotho,Health,Family Planning and Reproductive Health,2092
2009,1,Obligations,Operating Expenses,USAID,Russia,Worldwide,Program Management,Direct Administrative Costs,513598.42
2012,4,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,Program Management,Monitoring and Evaluation,-381
2014,2,Obligations,Commodity Credit Corp Title II and III,USAID,Philippines,Philippines,Humanitarian Assistance,"Protection, Assistance and Solutions",5000000
2009,3,Obligations,Operating Expenses,USAID,Albania,Worldwide,Program Management,Direct Administrative Costs,391454.13
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, and Governance",Civil Society,9716
2010,1,Obligations,N/A,MCC,Ghana,Ghana,Multi-Sector,Multi-Sector - Unspecified,84806.27
2011,4,Obligations,Development Assistance,USAID,Angola,Angola,"Democracy, Human Rights, and Governance",Civil Society,-209.76
2012,3,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Program Management,Monitoring and Evaluation,535000
2011,2,Obligations,Development Assistance,USAID,USAID Administrative Costs,Worldwide,Program Management,Monitoring and Evaluation,-9031.59
2010,2,Obligations,Operating Expenses,USAID,Rwanda,Worldwide,Program Management,Direct Administrative Costs,436779.29
2014,2,Obligations,Transition Initiatives,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs,-20677.24
2013,1,Obligations,N/A,USAID,Philippines,Philippines,Economic Development,Macroeconomic Foundation for Growth,1098
2013,1,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Family Planning and Reproductive Health,400708.2
2013,2,Obligations,Transition Initiatives,USAID,Mali,Mali,Program Management,Direct Administrative Costs,87244
2012,3,Obligations,Operating Expenses,USAID,Jamaica,Worldwide,Program Management,Direct Administrative Costs,838894.97
2011,4,Obligations,Development Assistance,USAID,Bolivia,Bolivia,Environment,Natural Resources and Biodiversity,5280000
2009,4,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Good Governance,22074000
2010,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Infrastructure,-10.64
2008,4,Obligations,N/A,MCC,Mozambique,Mozambique,Economic Development,Agriculture,17167211
2010,4,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Agriculture,452000
2010,4,Obligations,Economic Support Fund,USAID,Mali,Mali,Peace and Security,Counterterrorism,1000000
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Belarus,Belarus,Program Management,Direct Administrative Costs,45614.11
2013,2,Obligations,International Disaster Assistance,USAID,Thailand,Thailand,Humanitarian Assistance,Disaster Readiness,227067
2011,3,Obligations,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Malaria,1500000
2012,2,Obligations,Operating Expenses,USAID,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs,608913.41
2013,4,Obligations,Economic Support Fund,USAID,Ukraine,Ukraine,Economic Development,Trade and Investment,400000
2009,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Health,Water Supply and Sanitation,10532646
2014,2,Obligations,N/A,USAID,Armenia,Armenia,Health,Water Supply and Sanitation,1058235
2013,4,Obligations,Child Survival and Health Programs Fund,USAID,Malawi,Malawi,Program Management,Direct Administrative Costs,478480
2011,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace and Security,Transnational Crime,0
2010,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,272000
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Economic Development,Agriculture,7422605
2014,2,Obligations,Economic Support Fund,USAID,Moldova,Moldova,Program Management,Direct Administrative Costs,178884.16
2013,3,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Program Management,Direct Administrative Costs,1519156.89
2013,3,Obligations,International Disaster Assistance,USAID,Central African Republic,Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions",3829466
2014,2,Obligations,N/A,USAID,Bangladesh,Bangladesh,Program Management,Monitoring and Evaluation,467507.94
2014,2,Obligations,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Family Planning and Reproductive Health,710000
2013,1,Obligations,Economic Support Fund,USAID,Colombia,Colombia,"Democracy, Human Rights, and Governance",Good Governance,319454.91
2009,4,Obligations,Economic Support Fund,USAID,Somalia,Somalia,"Democracy, Human Rights, and Governance",Good Governance,3570829
2007,4,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Program Management,Direct Administrative Costs,23664259.23
2009,3,Obligations,Global Health & Child Survival,USAID,Peru,Peru,Health,Family Planning and Reproductive Health,23238
2013,2,Obligations,N/A,USAID,Timor-Leste,Timor-Leste,Economic Development,Private Sector Competitiveness,1163823
2013,3,Obligations,N/A,MCC,Liberia,Liberia,Multi-Sector,Multi-Sector - Unspecified,120950.17
2013,1,Obligations,International Disaster Assistance,USAID,Liberia,Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions",-18014.41
2012,2,Obligations,N/A,MCC,Tanzania,Tanzania,Economic Development,Infrastructure,3969973
2013,,Obligations,N/A,USADF,Benin,Benin,,Economic Opportunity,164781
2013,1,Obligations,Global Health & Child Survival,USAID,Ghana,Ghana,Health,HIV/AIDS,2774500
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,219455
2009,3,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Program Management,Direct Administrative Costs,300000
2011,2,Obligations,Development Assistance,USAID,Mexico,Mexico,Economic Development,Private Sector Competitiveness,1000000
2010,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Infrastructure,-1183.71
2011,2,Obligations,Development Assistance,USAID,Afghanistan,Afghanistan,Education and Social Services,Basic Education,0
2010,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Economic Development,Infrastructure,-322.9
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Health,Other Public Health Threats,159718
2013,4,Obligations,N/A,USAID,Moldova,Moldova,Program Management,Direct Administrative Costs,395628.7
2011,2,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Water Supply and Sanitation,18000000
2013,2,Obligations,Economic Support Fund,USAID,Nepal,Nepal,"Democracy, Human Rights, and Governance",Good Governance,1236346
2010,2,Obligations,Operating Expenses,USAID,Zambia,Worldwide,Program Management,Direct Administrative Costs,516981
2012,2,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,East Asia Region,Environment,Natural Resources and Biodiversity,4000000
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth,621843
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Burundi,Health,Malaria,75000
2013,4,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Economic Opportunity,184499.71
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Program Management,Monitoring and Evaluation,20000
2012,1,Obligations,N/A,Peace Corps,Jamaica,Jamaica,,Multi-Sector - Unspecified,22465.92
2011,4,Obligations,Operating Expenses,USAID,Afghanistan,Worldwide,Program Management,Direct Administrative Costs,55753354.14
2011,2,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Vietnam,Health,Pandemic Influenza and Other Emerging Threats ,61055
2013,4,Obligations,Global Health & Child Survival,USAID,East Asia Region,East Asia Region,Health,HIV/AIDS,2440000
2013,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Education and Social Services,Basic Education,2261913.32
2012,4,Obligations,Global Health & Child Survival,USAID,India,India,Health,HIV/AIDS,16433334.63
2012,,Obligations,N/A,IAF,Mexico,Mexico,,Natural Resources and Biodiversity,953212
2011,2,Obligations,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Health,Water Supply and Sanitation,615457
2011,3,Obligations,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Program Management,Direct Administrative Costs,-1909.8
2007,1,Obligations,N/A,MCC,Namibia,Namibia,Multi-Sector,Multi-Sector - Unspecified,8380.93
2009,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Regional Development Mission-Asia,Vietnam,Health,Pandemic Influenza and Other Emerging Threats ,2803.4
2011,2,Obligations,Development Assistance,USAID,Brazil,Brazil,Program Management,Monitoring and Evaluation,-18.83
2009,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions",400000
2012,4,Obligations,N/A,DOS,Worldwide,Worldwide,,HIV/AIDS,321930022.24
2011,3,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Senegal,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1450000
2012,4,Obligations,Economic Support Fund,USAID,Nepal,Nepal,Program Management,Direct Administrative Costs,1212000
2009,4,Obligations,Operating Expenses,USAID,Guinea,Worldwide,Program Management,Direct Administrative Costs,1202080.42
2010,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions",3583376.75
2009,2,Obligations,Global HIV/AIDS Initiative,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS,379.33
2011,0,Obligations,N/A,DoD,Mali,Mali,Peace and Security,Counterterrorism,1000000
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Education and Social Services,Basic Education,203412
2011,4,Obligations,N/A,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Humanitarian Assistance,Disaster Readiness,369320
2014,2,Obligations,International Disaster Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Humanitarian Assistance,Disaster Readiness,4660
2013,4,Obligations,N/A,MCC,Tanzania,Tanzania,Economic Development,Infrastructure,4467734
2014,2,Obligations,Economic Support Fund,USAID,Burma,Burma,Education and Social Services,Higher Education,-1941.86
2013,3,Obligations,N/A,USAID,Malawi,Malawi,Education and Social Services,Basic Education,4001712.24
2009,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Education and Social Services,Higher Education,200000
2009,3,Obligations,Development Assistance,USAID,El Salvador,El Salvador,Economic Development,Private Sector Competitiveness,823
2010,1,Obligations,Operating Expenses,USAID,Paraguay,Worldwide,Program Management,Direct Administrative Costs,237707.96
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Program Management,Direct Administrative Costs,2435371.85
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Vietnam,Health,Pandemic Influenza and Other Emerging Threats ,4715866.85
2010,4,Obligations,Development Assistance,USAID,Malawi,Malawi,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,810000
2010,4,Obligations,Development Assistance,USAID,USAID Middle East Regional,Egypt,Economic Development,Trade and Investment,400000
2009,2,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Other Public Health Threats,57929
2009,4,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Health,Maternal and Child Health,300000
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Uzbekistan,Uzbekistan,Program Management,Direct Administrative Costs,-97.20999999999999
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Economic Development,Agriculture,16054000
2010,4,Obligations,Global Health & Child Survival,USAID,USAID East Africa Regional,East Africa Region,Health,Maternal and Child Health,792000
2013,3,Obligations,N/A,USAID,Mongolia,Mongolia,Program Management,Direct Administrative Costs,-963.25
2013,3,Obligations,Economic Support Fund,USAID,Haiti,Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions",3062451.5
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kosovo,Kosovo,Peace and Security,Conflict Mitigation and Reconciliation,5141179
2009,4,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Family Planning and Reproductive Health,900000
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",United Arab Emirates,Program Management,Direct Administrative Costs,-1570.46
2011,2,Obligations,Child Survival and Health Programs Fund,USAID,Afghanistan,Afghanistan,Health,Family Planning and Reproductive Health,0
2013,3,Obligations,N/A,USAID,Ecuador,Ecuador,"Democracy, Human Rights, and Governance",Civil Society,103449
2012,2,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Humanitarian Assistance,Disaster Readiness,-8829.790000000001
2014,1,Obligations,N/A,MCC,Lesotho,Lesotho,Economic Development,Financial Sector,-118349.61
2009,4,Obligations,Development Assistance,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs,3475000
2011,4,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Peace and Security,Conflict Mitigation and Reconciliation,128179
2009,1,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace and Security,Counter-Narcotics,38000000
2011,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Health,Other Public Health Threats,25700
2012,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-4552.77
2013,3,Obligations,Global Health & Child Survival,USAID,Rwanda,Rwanda,Health,Maternal and Child Health,2480000
2010,4,Obligations,Development Assistance,USAID,Kenya,Kenya,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,7700000
2012,,Obligations,N/A,Treasury,Thailand,N/A,Economic Development,Financial Sector,58823.53
2011,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, and Governance",Civil Society,-18859.64
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Peace and Security,Conflict Mitigation and Reconciliation,4035000
2011,1,Obligations,Development Credit Authority,USAID,Bureau for Management (USAID),Worldwide,Program Management,Direct Administrative Costs,151872.97
2010,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Laos,Humanitarian Assistance,"Protection, Assistance and Solutions",350000
2011,4,Obligations,Operating Expenses,USAID,USAID Africa Regional,Worldwide,Program Management,Direct Administrative Costs,3450734.18
2010,3,Obligations,Economic Support Fund,USAID,Liberia,Liberia,"Democracy, Human Rights, and Governance",Good Governance,-1104
2011,,Obligations,N/A,USADF,Rwanda,Rwanda,,Monitoring and Evaluation,251556
2009,4,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,Economic Development,Agriculture,2655776.34
2009,3,Obligations,Development Assistance,USAID,Jamaica,Jamaica,Environment,Natural Resources and Biodiversity,-24854
2010,4,Obligations,Development Assistance,USAID,Uganda,Uganda,Education and Social Services,Basic Education,9350000
2011,2,Obligations,Development Assistance,USAID,Djibouti,Djibouti,Education and Social Services,Social Assistance,-1448.2
2010,4,Obligations,Global Health & Child Survival,USAID,Guyana,Guyana,Health,HIV/AIDS,3430136
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Program Management,Direct Administrative Costs,111867.08
2013,3,Obligations,N/A,USAID,Indonesia,Indonesia,Economic Development,Macroeconomic Foundation for Growth,99446
2013,4,Obligations,Economic Support Fund,USAID,Georgia,Georgia,"Democracy, Human Rights, and Governance",Good Governance,600000
2011,4,Obligations,Development Assistance,USAID,Honduras,Honduras,Economic Development,Private Sector Competitiveness,2271000
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Rwanda,Rwanda,Program Management,Direct Administrative Costs,-30514.77
2010,4,Obligations,Development Assistance,USAID,Mali,Mali,Program Management,Monitoring and Evaluation,1270000
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Economic Development,Macroeconomic Foundation for Growth,3290000
2012,2,Obligations,Operating Expenses,USAID,Pakistan,Worldwide,Program Management,Direct Administrative Costs,5462443.24
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Senegal,Humanitarian Assistance,"Protection, Assistance and Solutions",3376779.01
2013,2,Obligations,N/A,DOS,Joint Europe and Eurasia Regional,Joint Europe and Eurasia Regional,,Multi-Sector - Unspecified,6346943.37
2013,3,Obligations,N/A,USAID,West Africa Region,West Africa Region,Economic Development,Trade and Investment,749643.65
2009,3,Obligations,Operating Expenses,USAID,Kazakhstan,Worldwide,Program Management,Direct Administrative Costs,1808.74
2014,1,Obligations,N/A,Peace Corps,Mongolia,Mongolia,,Health - General,95383.94
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Health,Family Planning and Reproductive Health,-891.03
2009,4,Obligations,Global Health & Child Survival,USAID,Haiti,Haiti,Health,Tuberculosis,1239000
2013,4,Obligations,N/A,USAID,Burkina Faso,Burkina Faso,Program Management,Direct Administrative Costs,5787
2010,1,Obligations,Development Assistance,USAID,South Africa,South Africa,Peace and Security,Transnational Crime,-109311.5
2009,4,Obligations,Global Health & Child Survival,USAID,Brazil,Brazil,Program Management,Monitoring and Evaluation,7000
2012,1,Obligations,Global Health & Child Survival,USAID,Russia,Russia,Program Management,Direct Administrative Costs,82283.35000000001
2013,0,Obligations,N/A,DoD,Jamaica,Jamaica,Peace and Security,Counter-Narcotics,3000
2013,3,Obligations,N/A,USAID,Macedonia,Macedonia,Program Management,Monitoring and Evaluation,636525.4
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Program Management,Monitoring and Evaluation,10320
2009,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Honduras,Humanitarian Assistance,"Protection, Assistance and Solutions",338994
2013,2,Obligations,N/A,USAID,Tanzania,Tanzania,Environment,Environment,63348.29
2014,2,Obligations,Global Health & Child Survival,USAID,Madagascar,Madagascar,Health,Family Planning and Reproductive Health,1483688
2013,2,Obligations,N/A,USAID,Ethiopia,Ethiopia,Peace and Security,Conflict Mitigation and Reconciliation,-924.03
2013,2,Obligations,Global Health & Child Survival,USAID,Cameroon,Cameroon,Health,HIV/AIDS,19758.07
2013,3,Obligations,N/A,USAID,Mali,Mali,Program Management,Monitoring and Evaluation,596991.5
2010,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Environment,Clean Productive Environment,250000
2012,4,Obligations,Development Assistance,USAID,Office of Innovation and Development Alliances (USAID),East Asia Region,Program Management,Direct Administrative Costs,-259.35
2012,4,Obligations,Economic Support Fund,USAID,Haiti,Haiti,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6713000
2012,2,Obligations,Global Health & Child Survival,USAID,Zimbabwe,Zimbabwe,Health,Maternal and Child Health,2750000
2011,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Peace and Security,Conflict Mitigation and Reconciliation,1106746.4
2014,2,Obligations,Global Health & Child Survival,USAID,Zambia,Zambia,Health,HIV/AIDS,51622303.32
2013,1,Obligations,Global Health & Child Survival,USAID,Angola,Angola,Health,HIV/AIDS,1345000
2014,2,Obligations,Economic Support Fund,USAID,Haiti,Haiti,Education and Social Services,Social Assistance,528609.47
2013,1,Obligations,N/A,Peace Corps,Worldwide,Worldwide,,Health - General,23452664.23
2010,3,Obligations,Special Assistance Initiatives,USAID,USAID Operating Expense,Worldwide,Economic Development,Private Sector Competitiveness,88.65000000000001
2011,3,Obligations,N/A,MCC,Philippines,Philippines,Education and Social Services,Social Services,117690000
2013,3,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Education and Social Services,Basic Education,204636
2010,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Turkey,Education and Social Services,Higher Education,200000
2011,1,Obligations,N/A,MCC,Benin,Benin,Economic Development,Infrastructure,1
2012,4,Obligations,Development Assistance,USAID,Angola,Angola,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-22500
2012,1,Obligations,N/A,Peace Corps,Kyrgyz Republic,Kyrgyz Republic,,Multi-Sector - Unspecified,92258.96000000001
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Program Management,Direct Administrative Costs,56982.89
2014,2,Obligations,N/A,Peace Corps,Thailand,Thailand,,Economic Development - General,194512.93
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Health,Maternal and Child Health,1751
2010,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,8310000
2009,1,Obligations,Special Assistance Initiatives,USAID,Albania,Albania,Economic Development,Infrastructure,179.5
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Humanitarian Assistance,"Protection, Assistance and Solutions",16428417.05
2012,4,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Program Management,Monitoring and Evaluation,678443
2013,1,Obligations,Economic Support Fund,USAID,West Africa Region,West Africa Region,Program Management,Monitoring and Evaluation,1236.2
2013,0,Obligations,N/A,DoD,Gabon,Gabon,Health,HIV/AIDS,500000
2012,1,Obligations,Economic Support Fund,USAID,USAID Middle East Regional,Egypt,Program Management,Direct Administrative Costs,15983.5
2010,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ukraine,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,800000
2011,2,Obligations,Operating Expenses,USAID,Georgia,Worldwide,Program Management,Direct Administrative Costs,582121.6899999999
2013,3,Obligations,N/A,USAID,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,189441.47
2011,3,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Economic Development,Private Sector Competitiveness,-13298.95
2012,1,Obligations,Complex Crises Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Peace and Security,Conflict Mitigation and Reconciliation,8000000
2014,2,Obligations,Economic Support Fund,USAID,Mauritania,Mauritania,Program Management,Direct Administrative Costs,3455
2009,4,Obligations,Global HIV/AIDS Initiative,USAID,Swaziland,Swaziland,Health,HIV/AIDS,-126291.02
2009,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Malawi,Humanitarian Assistance,"Protection, Assistance and Solutions",1672400
2011,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,"Democracy, Human Rights, and Governance",Civil Society,800000
2012,3,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Economic Development,Private Sector Competitiveness,1280000
2011,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Brazil,Humanitarian Assistance,"Protection, Assistance and Solutions",235315.49
